255	255	6
255	255	8
255	255	6
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	1
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	4
255	255	3
255	255	5
255	255	7
255	255	7
255	255	10
255	255	10
255	255	3
255	255	4
255	255	4
255	255	5
255	255	8
255	255	3
255	255	5
255	255	3
255	255	5
255	255	7
255	255	7
255	255	7
255	255	7
255	255	7
255	255	7
255	255	7
255	255	7
255	255	7
255	255	7
255	255	3
255	255	3
255	255	8
255	255	8
255	255	8
255	255	6
255	255	12
255	255	8
255	255	7
255	255	8
255	255	9
255	255	6
255	255	6
255	255	8
255	255	9
255	255	3
255	255	4
255	255	7
255	255	6
255	255	11
255	255	9
255	255	9
255	255	7
255	255	9
255	255	7
255	255	7
255	255	6
255	255	8
255	255	8
255	255	11
255	255	7
255	255	7
255	255	7
255	255	4
255	255	9
255	255	4
255	255	8
255	255	5
255	255	3
255	255	6
255	255	7
255	255	6
255	255	7
255	255	6
255	255	4
255	255	7
255	255	7
255	255	3
255	255	3
255	255	6
255	255	3
255	255	11
255	255	7
255	255	7
255	255	7
255	255	7
255	255	4
255	255	5
255	255	4
255	255	7
255	255	6
255	255	9
255	255	6
255	255	6
255	255	6
255	255	4
255	255	3
255	255	4
255	255	8
255	255	3
255	255	7
255	255	8
255	255	3
255	255	7
255	255	3
255	255	8
255	255	8
255	255	8
255	255	5
255	255	9
255	255	7
255	255	5
255	255	11
255	255	8
255	255	7
255	255	8
255	255	8
255	255	4
255	255	4
255	255	4
255	255	4
255	255	4
255	255	1
255	255	1
255	255	4
255	255	4
255	255	5
255	255	5
255	255	11
255	255	8
255	255	6
255	255	7
255	255	4
255	255	3
255	255	7
255	255	7
255	255	7
255	255	7
255	255	3
255	255	5
255	255	5
255	255	11
255	255	5
255	255	6
255	255	8
255	255	5
255	255	11
255	255	5
255	255	5
255	255	8
255	255	4
255	255	4
255	255	3
255	255	7
255	255	6
255	255	3
255	255	3
255	255	4
255	255	5
255	255	6
255	255	11
255	255	11
255	255	11
255	255	6
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	8
255	255	11
255	255	8
255	255	6
255	255	6
255	255	6
255	255	6
255	255	3
255	255	3
255	255	3
255	255	3
255	255	9
255	255	9
255	255	9
255	255	9
255	255	9
255	255	9
255	255	9
255	255	8
255	255	9
255	255	8
255	255	8
255	255	8
255	255	8
255	255	7
255	255	7
255	255	7
255	255	6
255	255	6
255	255	6
255	255	6
255	255	6
255	255	6
255	255	10
255	255	6
255	255	6
255	255	6
255	255	6
255	255	6
255	255	3
255	255	3
255	255	3
255	255	3
255	255	7
255	255	7
255	255	7
255	255	7
255	255	7
255	255	7
255	255	7
255	255	8
255	255	7
255	255	7
255	255	7
255	255	7
255	255	7
255	255	6
255	255	7
255	255	6
255
255
255
255
255
255
255
255
255
255
255
255
